Palmitic Acid (C16:0),Palmitoleic Acid (C16:1),Heptadecanoic Acid (C17:0),Heptadecenoic Acid (C17:1),Stearic Acid (C18:0),Oleic Acid (C18:1),Linoleic Acid (C18:2),Linolenic Acid (C18:3),Arachidic Acid (C20:0),Gadoleic Acid (Eicosenoic) (C20:1),Behenic Acid (C22:0),Lignoceric Acid (C24:0)
16.8,1.0,0.2,0.2,3.3,63.4,13.9,0.6,0.4,0.2,0.1,0.0
16.3,0.9,0.1,0.2,3.3,63.8,14.0,0.6,0.4,0.2,0.1,0.0
16.7,0.9,0.2,0.2,3.3,63.6,13.9,0.6,0.4,0.2,0.1,0.0
16.7,0.9,0.2,0.2,3.3,63.6,13.9,0.6,0.4,0.2,0.1,0.0
16.4,0.8,0.2,0.2,3.1,63.9,14.2,0.5,0.4,0.2,0.1,0.0
16.7,0.9,0.2,0.2,3.3,63.6,13.9,0.6,0.5,0.2,0.1,0.0
17.5,0.8,0.2,0.2,3.3,62.9,13.8,0.6,0.5,0.2,0.1,0.0
17.6,0.8,0.2,0.2,3.4,62.8,13.8,0.5,0.5,0.2,0.1,0.0
17.7,0.9,0.2,0.2,3.4,62.7,13.6,0.5,0.5,0.2,0.1,0.0
17.4,0.9,0.1,0.2,3.3,62.9,13.9,0.6,0.4,0.2,0.1,0.0
17.1,0.8,0.1,0.2,3.3,63.1,14.0,0.6,0.5,0.2,0.1,0.0
17.3,0.8,0.2,0.2,3.3,63.0,13.9,0.5,0.5,0.2,0.1,0.0
17.1,0.8,0.1,0.2,3.3,63.3,13.9,0.6,0.5,0.2,0.1,0.0
17.0,0.8,0.1,0.2,3.2,63.3,14.0,0.6,0.4,0.2,0.1,0.0
17.0,0.8,0.1,0.2,3.2,63.3,14.0,0.5,0.4,0.2,0.1,0.0
17.0,0.8,0.1,0.2,3.3,63.2,13.9,0.6,0.5,0.2,0.1,0.0
16.9,0.8,0.1,0.2,3.3,63.3,14.0,0.5,0.5,0.2,0.1,0.0
17.0,0.8,0.1,0.2,3.3,63.2,14.0,0.6,0.5,0.2,0.1,0.0

